JAMIE, ORB 1, ORB 2, ORB 3
(6.387247; -2.9543156E-5; -6.9798236),(18.740616; 34.83044; -20.479254),(-10.17129; 39.64909; -48.18649),(-38.85034; 34.83044; -18.069927)
(12.211651; 0.037658066; -13.342648),(32.298885; 29.45; -35.29534),(-17.529902; 37.7548; -83.04788),(-66.95729; 29.45; -31.142965)
(17.367674; -9.251792E-5; -18.977715),(44.254658; 18.522676; -48.36036),(-24.018787; 29.9016; -113.78905),(-91.74238; 18.522676; -42.670944)
(18.763624; -5.488293E-4; -22.989422),(56.414974; 1.4640267; -61.648895),(-30.618626; 15.969066; -122.421936),(-99.82908; 13.072482; -55.27919)
(24.72957; -6.0760335E-4; -27.483448),(57.69784; 2.3386147; -63.41687),(-36.128056; 1.0935555; -120.39968),(-94.47989; 13.100206; -60.325684)
(30.04116; -3.659058E-4; -32.938114),(57.8558; 2.3682885; -65.33746),(-37.650402; 1.1474764; -119.445885),(-87.67404; 10.260304; -63.00206)
(35.04687; -1.2921293E-4; -38.481987),(56.91189; 2.3209124; -67.134315),(-38.380344; 1.1031091; -118.70641),(-79.50171; 3.9408944; -63.6362)
(39.941452; -1.5340504E-5; -43.90253),(55.198635; 2.0696156; -68.61841),(-38.68646; 1.0506159; -118.93485),(-68.494934; 1.0904301; -61.17095)
(45.058365; -0.0011020809; -49.569492),(52.534355; 1.6135342; -70.14456),(-38.967342; 0.99568486; -120.04443),(-57.05073; 2.1641364; -57.996655)
(50.05948; 0.053886972; -55.108555),(49.113873; 1.1498061; -71.78605),(-39.23834; 0.9997999; -121.159676),(-46.021313; 1.2508478; -54.928165)
(55.16152; 0.6557157; -60.765217),(45.082912; 0.99861336; -73.58292),(-39.51744; 0.9999623; -122.306076),(-34.68237; 0.9949354; -51.76643)
(54.24573; 1.1275388; -66.18965),(40.78497; 0.99984694; -75.49196),(-39.812542; 0.99999684; -123.51962),(-22.754269; 1.1261737; -48.44984)
(47.979256; 0.098354146; -70.83941),(36.656845; 0.98940957; -77.305466),(-40.09705; 0.99986756; -123.594894),(-11.5713415; 0.99577045; -45.303318)
(41.506233; -0.003026086; -75.084305),(32.59717; 0.9999993; -79.07244),(-40.381023; 0.99999994; -123.36792),(-0.67266876; 0.9997151; -42.313175)
(34.694717; -0.0021958097; -78.147415),(28.667524; 1.0006818; -80.78314),(-40.61372; 1.0; -123.18194),(9.85217; 0.9999619; -39.49707)
(29.674532; -0.0024417485; -80.34021),(24.776306; 0.99994564; -82.47451),(-40.61317; 1.0; -123.18238),(20.278566; 0.9938533; -36.763393)
(22.36919; 8.02434E-7; -83.52014),(20.560492; 0.9992282; -84.3051),(-40.617687; 1.0; -123.17877),(31.475307; 0.9999428; -33.928005)
(15.675672; -0.0023739154; -87.14214),(13.763171; 0.9993544; -87.25497),(-40.617912; 1.0; -123.1786),(42.04514; 1.0090419; -31.267223)
(9.245032; -1.5789039E-4; -91.25886),(6.390108; 0.9985285; -90.45723),(-40.617035; 1.0; -123.17929),(52.426117; 1.5554855; -28.633844)
(2.6748111; -0.0017798217; -95.464935),(-1.0850413; 0.9999847; -93.70383),(-40.613926; 1.0; -123.18178),(61.818462; 2.9852574; -25.629904)
(-3.4191103; -0.0017282007; -98.55521),(-8.586438; 1.0270377; -96.96054),(-40.61807; 1.0; -123.17847),(70.19089; 3.6271148; -21.826359)
(-10.054065; -3.4875856E-4; -102.95149),(-16.2433; 0.9937068; -100.254616),(-40.61791; 1.0; -123.1786),(77.18002; 4.7294507; -17.337894)
(-16.421131; -0.0018210348; -107.16547),(-23.558968; 0.99995434; -103.39225),(-40.617558; 1.0; -123.17888),(83.31209; 4.4091883; -12.871353)
